Recipe_Name,Cuisine_Type,Ingredients_List,Preparation_Steps,Difficulty_Level,User_Preferences,Season,Occasion,Allergen_Information,Seasonal_Availability
Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,Easy,Vegan,Fall,Party,Soy,No
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Summer,Party,None,Yes
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Fall,Party,Gluten,Yes
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Summer,Party,None,Yes
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Spring,Dinner,None,No
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Fall,Lunch,None,No
Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,Easy,Vegan,Winter,Party,Soy,No
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Summer,Lunch,Dairy,No
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Summer,Casual,Gluten,Yes
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Summer,Party,Dairy,No
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Fall,Casual,None,No
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Summer,Casual,Gluten,No
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Fall,Lunch,None,Yes
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Spring,Dinner,Gluten,No
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Summer,Dinner,None,Yes
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Fall,Dinner,Dairy,Yes
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Fall,Lunch,None,Yes
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Summer,Lunch,Dairy,No
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Spring,Dinner,Dairy,No
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Winter,Lunch,Dairy,Yes
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Fall,Party,None,Yes
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Spring,Party,None,No
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Fall,Party,None,No
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Fall,Casual,Gluten,Yes
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Summer,Party,None,No
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Spring,Dinner,Dairy,No
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Spring,Party,Dairy,Yes
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Spring,Party,None,Yes
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Spring,Party,None,No
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Spring,Casual,Dairy,Yes
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Spring,Casual,None,No
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Winter,Casual,None,No
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Summer,Casual,None,No
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Summer,Lunch,Gluten,Yes
Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,Easy,Vegan,Winter,Party,Soy,No
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Fall,Casual,None,No
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Fall,Casual,None,Yes
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Winter,Lunch,None,Yes
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Winter,Casual,Dairy,No
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Summer,Party,None,Yes
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Spring,Dinner,None,No
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Spring,Casual,Dairy,No
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Summer,Party,None,No
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Winter,Lunch,Dairy,No
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Spring,Party,Gluten,No
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Winter,Casual,None,Yes
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Fall,Lunch,Gluten,Yes
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Fall,Casual,Dairy,Yes
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Spring,Casual,None,No
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Fall,Party,Dairy,Yes
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Spring,Dinner,Dairy,No
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Winter,Party,None,Yes
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Summer,Party,None,Yes
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Fall,Party,Gluten,Yes
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Fall,Casual,Gluten,No
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Fall,Casual,Dairy,Yes
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Summer,Party,None,Yes
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Fall,Lunch,Dairy,Yes
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Spring,Dinner,None,No
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Winter,Casual,Dairy,No
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Winter,Lunch,Gluten,No
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Spring,Party,Gluten,Yes
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Winter,Casual,None,Yes
Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,Easy,Vegan,Winter,Lunch,Soy,No
Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,Easy,Vegan,Summer,Lunch,Soy,No
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Fall,Lunch,None,Yes
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Summer,Dinner,Dairy,No
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Summer,Party,None,No
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Winter,Casual,Gluten,Yes
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Spring,Dinner,None,No
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Winter,Lunch,None,No
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Summer,Lunch,None,No
Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,Easy,Vegan,Winter,Dinner,Soy,No
Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,Easy,Vegan,Fall,Dinner,Soy,No
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Winter,Party,None,No
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Spring,Casual,None,No
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Winter,Dinner,Gluten,No
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Spring,Dinner,None,Yes
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Winter,Party,Dairy,No
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Spring,Dinner,None,No
Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,Easy,Vegan,Summer,Lunch,Soy,No
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Summer,Dinner,Dairy,Yes
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Spring,Party,None,Yes
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Fall,Lunch,Gluten,Yes
Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,Easy,Vegan,Winter,Dinner,Soy,Yes
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Fall,Party,Gluten,Yes
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Spring,Casual,None,No
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Summer,Dinner,Gluten,No
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Fall,Casual,Gluten,No
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Fall,Dinner,None,No
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Fall,Casual,Dairy,No
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Summer,Lunch,None,No
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Winter,Dinner,Gluten,No
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Summer,Lunch,None,No
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Spring,Casual,Dairy,No
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Spring,Lunch,None,Yes
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Fall,Lunch,Dairy,No
Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,Easy,Vegan,Summer,Lunch,Soy,No
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Summer,Dinner,None,No
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Summer,Casual,Dairy,No
Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,Easy,Vegan,Spring,Lunch,Soy,Yes
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Spring,Casual,None,Yes
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Spring,Casual,Gluten,Yes
Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,Easy,Vegan,Summer,Party,Soy,Yes
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Winter,Dinner,Gluten,No
Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,Easy,Vegan,Fall,Casual,Soy,Yes
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Winter,Lunch,Dairy,Yes
Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,Easy,Vegan,Fall,Dinner,Soy,No
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Summer,Party,None,Yes
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Winter,Party,Dairy,Yes
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Spring,Party,Dairy,No
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Summer,Lunch,Gluten,No
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Spring,Lunch,Gluten,No
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Summer,Lunch,None,No
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Winter,Lunch,None,Yes
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Winter,Party,Gluten,Yes
Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,Easy,Vegan,Winter,Lunch,Soy,No
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Fall,Lunch,None,No
Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,Easy,Vegan,Fall,Dinner,Soy,No
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Fall,Casual,None,Yes
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Spring,Dinner,Dairy,No
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Winter,Casual,Gluten,No
Chicken Curry,Indian,"Chicken, Curry Powder, Coconut Milk, Onion, Garlic",Cook chicken; Add spices; Pour coconut milk; Simmer.,Medium,Gluten-Free,Spring,Casual,None,Yes
Spaghetti Bolognese,Italian,"Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic",Boil pasta; Cook beef; Add sauce; Combine.,Easy,None,Summer,Casual,Gluten,No
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Winter,Party,None,No
Vegetable Stir Fry,Chinese,"Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic",Chop veggies; Stir-fry; Add sauce; Serve.,Easy,Vegan,Summer,Dinner,Soy,Yes
Beef Tacos,Mexican,"Beef, Taco Shells, Lettuce, Cheese, Tomato",Cook beef; Prepare toppings; Assemble tacos.,Medium,None,Winter,Party,None,Yes
Margherita Pizza,Italian,"Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil",Prepare dough; Add toppings; Bake pizza.,Hard,Vegetarian,Summer,Dinner,Dairy,Yes
